Voter File VANID,Sex,YEARXXScoreSName,DemPartySup2,NatTO,2020:CivSpan,2020:VolProp,TDPPartisan,BRResearchBetoSuppor,BRResearchBetoTurnou,DNCDemPartySupportV1,TO2022,Age,RaceName,PrecinctName
27,F,49.72,90.26,81.65,0.11,86.0,94.13,91.0,78.21,89.86,84.15,54.0,African-American,901.0
28,M,29.12,79.46,41.85,0.11,32.0,91.1,89.88,82.8,65.9,67.78,41.0,African-American,331.0
29,F,28.43,58.25,59.47,0.09,88.0,58.12,76.29,56.2,50.65,57.65,46.0,Caucasian,331.0
30,F,56.65,79.87,88.96,0.2,83.0,85.91,46.02,80.8,79.34,77.18,57.0,Asian,1056.0
31,M,51.94,53.55,24.28,0.07,,56.53,46.22,8.75,59.36,16.99,37.0,Asian,331.0
32,M,33.7,79.05,80.04,0.04,42.0,88.94,88.49,79.7,84.02,75.42,42.0,African-American,751.0
33,F,57.0,84.86,57.76,0.24,94.0,71.13,83.6,55.59,70.59,61.16,48.0,Caucasian,331.0
34,M,29.12,76.57,92.99,20.99,75.0,93.24,54.56,65.03,89.7,93.26,54.0,Hispanic,1086.0
35,F,65.48,97.87,99.42,0.02,61.0,99.59,99.73,81.26,97.93,97.84,64.0,Caucasian,1086.0
36,M,28.43,91.9,87.04,0.03,53.0,96.16,92.92,87.2,88.09,86.1,55.0,African-American,1102.0
37,F,26.91,91.12,99.56,0.07,46.0,96.92,93.76,85.59,94.07,90.72,61.0,African-American,901.0
38,M,51.94,62.65,72.05,0.01,37.0,59.04,36.84,11.1,56.35,21.05,49.0,African-American,511.0
39,F,52.94,34.95,79.98,0.13,,37.7,27.56,41.1,51.25,62.31,40.0,Caucasian,619.0
40,M,34.36,93.17,96.8,0.27,24.0,97.7,98.34,93.2,89.88,85.08,47.0,Caucasian,803.0
41,F,59.11,97.42,99.56,0.16,7.0,99.47,99.3,86.58,97.44,96.92,72.0,African-American,901.0
42,F,62.65,96.82,99.0,0.18,16.0,99.12,99.46,84.06,95.97,95.23,48.0,African-American,901.0
43,F,49.72,97.46,98.26,0.09,89.0,98.95,98.93,83.52,94.91,83.52,43.0,African-American,901.0
44,M,67.24,45.6,47.6,0.02,56.0,68.56,79.33,48.96,66.45,56.16,43.0,African-American,893.0
45,M,33.7,74.36,98.9,32.26,76.0,97.87,97.95,81.0,91.52,89.45,61.0,Hispanic,901.0
46,F,35.94,66.76,26.0,4.22,85.0,50.19,41.16,12.32,57.24,13.59,41.0,Hispanic,901.0
47,F,67.24,68.23,10.65,0.06,76.0,91.76,98.8,93.1,67.05,92.73,45.0,African-American,1056.0
48,M,35.94,87.85,22.67,0.12,60.0,87.16,67.03,11.7,86.64,10.43,52.0,African-American,1111.0
49,F,62.65,41.31,89.49,,,68.53,87.52,90.9,58.1,92.29,70.0,Caucasian,331.0
50,M,70.26,93.18,97.71,0.08,99.0,98.22,95.65,96.1,93.24,84.54,74.0,Caucasian,1086.0
51,F,65.48,93.92,96.75,0.14,,95.67,95.22,96.1,92.35,84.54,74.0,Caucasian,1086.0
52,F,20.67,85.7,83.09,0.15,50.0,92.95,61.12,87.9,87.28,75.79,65.0,Caucasian,644.0
53,M,43.46,79.38,66.31,0.13,62.0,69.15,81.55,59.9,71.12,59.59,40.0,African-American,1111.0
54,F,55.22,97.27,98.56,0.04,57.0,98.68,99.87,92.2,94.13,90.43,41.0,Caucasian,331.0
55,F,41.04,96.37,99.7,0.01,69.0,99.08,98.37,85.59,95.4,93.8,61.0,Caucasian,901.0
56,F,49.92,87.76,74.98,0.45,,80.15,72.18,65.28,79.72,72.5,48.0,Caucasian,1056.0
57,F,62.65,73.2,91.19,0.71,,73.77,69.73,85.5,66.89,91.87,57.0,Caucasian,1056.0
58,F,61.89,97.0,99.47,2.09,88.0,98.97,99.86,94.5,96.1,96.69,56.0,Caucasian,511.0
59,M,67.24,89.26,91.19,0.03,98.0,97.37,98.41,85.7,87.66,83.6,49.0,Caucasian,1056.0
60,M,39.65,86.07,96.13,0.0,28.0,95.32,99.68,84.6,82.18,88.75,51.0,African-American,331.0
61,F,65.6,89.52,90.12,0.01,85.0,88.47,95.53,84.3,70.44,77.45,45.0,African-American,362.0
62,M,59.11,96.0,99.0,0.04,15.0,99.18,99.29,84.33,95.96,95.6,49.0,African-American,901.0
63,M,62.65,83.81,97.94,0.05,,63.69,96.77,93.7,76.28,93.02,49.0,Caucasian,511.0
64,M,41.9,88.79,50.44,0.04,84.0,90.0,55.52,10.26,87.41,13.93,46.0,African-American,1102.0
65,F,25.77,92.5,99.31,20.73,37.0,98.34,97.86,78.29,95.99,87.88,39.0,Hispanic,803.0
66,M,28.43,79.66,89.98,15.48,62.0,94.41,64.09,71.82,83.87,86.11,55.0,Hispanic,803.0
67,M,57.0,81.59,41.76,0.07,97.0,87.23,63.0,73.5,67.82,66.8,41.0,Caucasian,331.0
68,F,25.58,50.29,26.53,3.78,26.0,55.31,49.92,12.15,57.25,1.64,38.0,Hispanic,1086.0
69,F,49.72,91.25,92.82,0.32,,90.11,85.33,86.8,90.13,79.65,63.0,Caucasian,1102.0
70,M,43.13,66.75,11.81,0.04,10.0,81.7,54.9,8.4,59.95,9.0,87.0,Caucasian,901.0
71,M,35.94,81.56,30.05,0.39,46.0,76.36,60.02,42.16,79.97,56.14,48.0,Middle Eastern,331.0
72,F,55.22,96.62,98.25,0.59,95.0,99.13,99.18,94.2,95.87,95.29,53.0,Caucasian,644.0
73,M,25.77,76.59,25.28,44.41,,75.19,32.58,9.95,78.31,9.21,54.0,Hispanic,331.0
74,M,73.56,92.08,99.7,0.1,100.0,98.12,99.81,79.22,93.04,97.2,47.0,Asian-Indian,1056.0
75,F,52.94,96.21,99.43,0.01,36.0,98.88,99.1,83.34,95.39,91.65,42.0,Caucasian,901.0
76,M,25.77,90.17,83.61,26.98,51.0,98.16,40.94,70.04,93.17,78.86,61.0,Hispanic,901.0
77,F,61.89,93.12,68.52,0.01,94.0,91.3,85.41,40.59,89.17,56.41,47.0,Caucasian,331.0
78,F,39.65,92.11,76.23,0.37,13.0,96.6,97.87,83.4,87.03,66.43,90.0,Caucasian,751.0
79,F,49.72,90.75,41.71,0.75,22.0,78.36,84.18,19.08,90.4,9.89,50.0,African-American,901.0
80,F,24.76,82.17,8.52,0.04,,74.03,55.28,14.5,75.68,0.61,42.0,African-American,509.0
81,M,25.58,86.7,17.41,0.06,37.0,61.91,80.22,21.2,85.11,2.81,49.0,African-American,1111.0
82,F,25.58,80.0,87.39,0.15,33.0,48.77,75.45,56.9,59.24,66.89,46.0,Hispanic,331.0
83,M,62.65,76.58,89.41,0.05,84.0,84.18,63.01,81.2,66.66,77.72,58.0,Asian,1056.0
84,M,39.65,93.32,69.27,0.21,33.0,97.41,65.47,56.27,87.33,63.74,62.0,Asian,901.0
85,M,34.36,50.67,44.56,0.01,65.0,28.38,17.76,57.63,54.29,63.4,64.0,Asian,1056.0
86,M,41.9,75.13,98.91,0.14,,76.3,79.56,93.4,85.26,96.31,67.0,Caucasian,1086.0
87,M,73.56,93.33,95.97,0.01,84.0,93.04,91.19,86.6,85.29,91.04,53.0,African-American,619.0
88,M,56.65,86.25,96.99,0.04,73.0,89.84,85.19,73.71,70.15,83.31,47.0,African-American,331.0
89,M,58.47,77.16,94.82,0.77,,77.0,85.11,73.87,79.22,91.99,62.0,Hispanic,1086.0
90,M,37.37,73.74,82.59,0.06,35.0,62.0,91.19,46.1,55.54,65.5,42.0,Jewish,644.0
91,F,28.43,90.96,49.39,0.54,69.0,86.16,77.23,60.48,88.05,58.72,41.0,Hispanic,331.0
92,F,39.65,62.01,49.37,16.13,,52.73,81.75,52.95,52.13,55.07,43.0,Hispanic,331.0
93,F,51.94,50.08,26.77,0.01,31.0,34.04,38.11,43.27,50.33,64.8,49.0,Vietnamese,901.0
94,F,28.43,91.68,99.45,0.07,49.0,98.17,95.83,93.2,95.14,85.47,47.0,African-American,331.0
95,F,39.65,95.73,86.51,0.67,79.0,98.66,88.41,87.7,93.33,80.63,56.0,Caucasian,901.0
96,M,52.94,95.77,99.47,0.03,58.0,99.39,93.57,96.1,97.09,96.64,70.0,Jewish,901.0
97,F,52.94,96.72,99.4,0.1,91.0,97.47,99.16,94.9,94.57,93.22,58.0,Caucasian,511.0
98,F,25.77,49.99,42.63,0.34,61.0,87.63,70.36,83.2,70.82,73.73,51.0,African-American,1111.0
99,M,65.48,76.43,92.01,0.01,92.0,90.5,72.96,36.8,78.44,41.32,44.0,African-American,331.0
100,M,58.47,87.5,92.87,0.05,80.0,94.7,94.1,70.97,84.82,75.22,43.0,Caucasian,901.0
101,F,39.65,58.93,10.49,0.06,,82.36,35.78,64.9,83.11,9.31,68.0,Caucasian,751.0
102,F,37.16,92.62,98.22,0.35,,89.8,93.79,92.6,91.03,87.65,42.0,Caucasian,1102.0
103,M,55.22,29.86,78.07,0.03,,30.87,17.15,64.2,65.65,84.38,58.0,Caucasian,511.0
104,F,35.94,73.76,90.41,0.15,19.0,95.86,93.42,93.3,82.22,80.72,87.0,Caucasian,751.0
105,M,51.94,55.71,99.04,9.03,60.0,90.07,62.05,78.71,82.56,92.83,63.0,Hispanic,751.0
106,M,43.13,93.49,98.18,0.05,,96.09,99.4,95.9,95.28,94.97,66.0,Caucasian,1102.0
107,M,10.35,84.18,24.21,8.64,6.0,76.51,44.2,8.92,86.05,24.74,34.0,Hispanic,362.0
108,F,28.43,91.16,90.21,0.1,24.0,95.85,98.32,80.73,88.86,84.7,64.0,African-American,901.0
109,F,35.94,92.98,91.51,0.22,43.0,98.84,93.73,95.8,95.53,81.4,65.0,Caucasian,1056.0
110,M,55.22,78.21,62.75,0.12,,37.16,40.05,45.48,52.0,66.73,59.0,Arab-Muslim,1086.0
111,M,49.72,90.12,89.79,0.02,98.0,96.74,96.17,89.1,86.35,87.28,61.0,African-American,511.0
112,F,43.13,96.34,90.0,0.12,20.0,98.72,98.89,77.49,93.79,88.38,50.0,Caucasian,331.0
113,F,51.94,70.98,32.4,0.28,,76.66,23.97,45.48,72.51,55.55,60.0,Vietnamese,1102.0
114,M,25.77,60.42,26.55,5.63,,36.57,47.92,38.42,57.14,51.85,40.0,Hispanic,331.0
115,F,51.94,86.44,87.24,0.06,,69.59,96.52,85.9,55.37,82.64,58.0,Caucasian,923.0
116,M,70.26,73.56,93.62,0.17,95.0,82.56,72.01,73.02,70.73,82.28,59.0,Asian,923.0
117,F,73.56,88.71,83.47,0.04,78.0,89.68,95.91,85.7,82.01,80.11,49.0,Caucasian,362.0
118,M,61.89,82.78,99.01,0.07,58.0,63.52,76.38,89.0,54.95,89.74,52.0,Caucasian,923.0
119,F,61.89,74.43,83.71,0.14,,26.94,43.26,50.9,68.26,62.44,56.0,Caucasian,906.0
120,F,59.11,95.82,87.9,0.01,98.0,97.76,99.17,84.8,93.72,91.38,47.0,Jewish,862.0
121,M,65.48,90.41,94.95,0.01,,97.63,93.19,82.5,89.61,93.43,39.0,Caucasian,923.0
122,M,56.65,79.19,82.11,0.05,83.0,80.06,81.48,87.3,65.34,80.87,63.0,Caucasian,862.0
123,M,39.65,94.22,97.99,0.1,,98.65,98.71,93.2,93.27,94.84,47.0,Caucasian,906.0
124,M,25.77,87.49,99.51,0.08,71.0,97.22,99.02,85.41,87.59,96.18,58.0,African-American,1055.0
125,M,63.5,60.34,70.13,0.05,,63.52,55.37,82.7,60.89,73.15,70.0,Asian,906.0
126,F,61.89,61.26,96.37,0.02,,80.19,61.12,85.5,65.5,84.92,69.0,African-American,906.0
127,M,49.72,81.31,99.27,0.03,,71.72,93.6,91.9,75.62,91.9,60.0,Jewish,923.0
128,F,57.0,90.15,92.82,0.02,67.0,94.24,88.28,77.94,87.53,84.15,53.0,African-American,1055.0
129,F,55.22,94.7,99.61,0.01,99.0,98.47,99.43,95.6,93.04,89.03,65.0,Caucasian,923.0
130,F,51.94,93.74,98.72,0.06,,98.64,94.11,94.1,93.78,93.77,52.0,Caucasian,906.0
131,M,39.65,87.57,62.94,0.01,,63.99,38.84,24.75,82.23,34.39,43.0,Caucasian,331.0
132,F,53.31,58.48,43.72,0.06,,31.35,44.67,50.9,58.2,53.64,48.0,African-American,1055.0
133,F,49.92,80.19,75.97,0.01,87.0,91.0,99.85,75.15,64.82,91.52,43.0,African-American,331.0
134,F,52.94,91.07,92.5,0.03,,78.83,95.09,90.4,91.56,83.08,66.0,Caucasian,547.0
135,F,59.11,95.74,99.27,0.03,92.0,98.23,97.64,83.16,92.31,88.17,41.0,Caucasian,901.0
136,F,25.77,64.7,50.13,0.13,,72.01,21.84,18.5,64.71,14.66,61.0,Caucasian,901.0
137,F,51.94,93.89,99.71,0.04,1.0,98.52,99.2,93.2,93.06,94.37,47.0,Caucasian,331.0
138,F,67.24,97.83,98.47,0.08,66.0,99.26,99.25,93.4,97.29,92.99,47.0,Caucasian,331.0
139,F,73.56,97.69,98.42,0.09,100.0,99.51,99.47,93.7,97.92,93.07,49.0,Caucasian,362.0
140,M,67.24,63.0,79.12,0.03,41.0,88.53,98.36,88.7,59.99,85.99,81.0,African-American,899.0
141,M,73.56,94.55,97.67,0.06,34.0,98.83,95.92,79.9,95.66,87.04,51.0,African-American,899.0
142,M,55.22,93.99,58.8,0.01,63.0,98.42,84.91,70.4,92.38,58.74,59.0,Caucasian,862.0
143,F,39.65,52.65,81.87,0.14,62.0,84.15,46.29,81.8,63.29,73.94,66.0,Caucasian,362.0
144,M,39.65,49.79,96.49,0.03,,47.23,38.13,82.4,70.74,95.63,51.0,Caucasian,1054.0
145,M,41.9,92.16,90.62,0.05,66.0,95.99,83.46,83.6,92.37,81.12,52.0,Jewish,1054.0
146,F,65.48,95.16,99.08,0.01,100.0,99.09,99.2,95.1,96.21,90.29,60.0,Caucasian,331.0
147,F,28.43,59.33,35.7,0.04,,45.04,35.41,39.1,55.86,32.75,92.0,Caucasian,362.0
148,M,18.9,54.45,75.0,31.84,,67.46,35.31,70.89,57.81,72.3,63.0,Hispanic,1054.0
149,F,49.72,94.01,99.26,18.36,99.0,98.62,84.33,79.81,94.37,89.26,50.0,Hispanic,149.0
150,M,51.94,76.33,92.77,2.14,,82.92,37.03,62.13,66.26,75.03,48.0,Hispanic,906.0
151,M,49.92,86.16,87.2,0.03,64.0,97.27,82.63,80.28,89.15,88.77,71.0,African-American,901.0
152,M,69.8,96.59,99.31,0.04,88.0,99.28,99.86,95.8,96.4,98.22,65.0,,547.0
153,M,35.04,61.12,81.3,0.2,60.0,67.73,47.92,80.4,53.96,77.98,56.0,Asian,362.0
154,F,62.65,96.86,99.66,0.37,,98.39,95.04,96.0,96.36,93.4,67.0,Caucasian,906.0
155,F,58.47,97.52,99.87,0.13,47.0,99.05,97.92,92.2,97.07,92.78,41.0,African-American,1055.0
156,M,57.0,95.35,99.15,0.02,85.0,98.73,96.9,83.52,93.92,88.16,44.0,African-American,901.0
157,F,28.43,77.7,60.22,0.22,76.0,86.59,89.73,76.59,73.34,69.17,48.0,Caucasian,901.0
158,F,39.65,90.38,89.58,0.44,90.0,96.11,82.72,79.92,89.28,80.59,61.0,Caucasian,1054.0
159,F,20.44,91.46,74.89,13.13,59.0,97.68,69.47,53.04,88.98,61.88,56.0,Hispanic,331.0
160,F,33.7,77.44,72.86,10.15,87.0,92.58,80.06,69.78,80.71,73.32,38.0,Hispanic,331.0
161,M,70.26,96.4,99.59,0.05,90.0,99.13,99.45,85.59,95.7,91.47,61.0,African-American,901.0
162,M,55.22,95.29,88.43,1.38,58.0,98.31,96.31,72.84,94.0,90.15,49.0,Hispanic,362.0
163,F,34.36,90.53,64.63,0.04,,74.93,79.19,20.2,83.59,28.58,42.0,African-American,1055.0
164,F,39.65,96.19,99.03,0.05,11.0,99.26,98.49,96.0,96.31,95.48,75.0,Jewish,906.0
165,M,58.47,73.08,87.58,0.01,,63.34,97.01,78.2,67.23,73.23,38.0,Caucasian,331.0
166,F,41.04,71.75,99.11,0.02,,82.83,91.41,87.7,66.84,90.38,41.0,Caucasian,1054.0
167,M,51.94,86.4,98.95,0.01,84.0,99.09,96.48,96.2,95.66,91.11,72.0,Caucasian,1054.0
168,F,28.43,46.3,89.92,0.04,81.0,88.2,50.5,89.2,62.86,76.97,71.0,African-American,362.0
169,F,33.7,74.47,20.31,0.02,,52.62,18.0,11.0,66.66,11.95,55.0,Caucasian,1054.0
170,M,28.43,94.48,98.7,1.24,13.0,99.03,96.79,81.69,95.15,97.23,74.0,Hispanic,1054.0
171,F,46.19,96.3,99.51,0.03,99.0,99.45,99.16,96.0,97.29,94.16,75.0,African-American,362.0
172,F,55.22,58.82,89.8,0.02,79.0,97.6,66.43,83.6,83.79,78.52,51.0,Caucasian,547.0
173,M,39.65,81.57,89.52,0.07,46.0,91.33,94.71,76.59,79.44,76.4,57.0,African-American,901.0
174,F,55.22,75.11,90.57,3.34,,64.41,77.65,68.42,77.3,75.32,44.0,Hispanic,709.0
175,F,52.94,96.94,97.22,0.12,26.0,99.41,97.95,94.9,97.04,83.95,83.0,African-American,1054.0
176,F,37.37,94.67,84.22,0.05,63.0,98.57,96.87,84.0,94.32,78.15,44.0,Caucasian,547.0
177,F,55.22,88.99,45.8,0.07,55.0,88.44,12.56,11.22,87.87,18.42,72.0,Vietnamese,899.0
178,M,62.65,75.44,92.33,0.05,,52.36,67.56,73.0,77.97,76.37,40.0,Caucasian,362.0
179,F,52.94,73.53,77.65,0.09,41.0,70.94,67.21,79.6,72.79,79.54,85.0,African-American,362.0
180,F,33.7,74.05,69.38,0.39,58.0,58.68,35.74,41.3,67.72,71.05,35.0,Caucasian,331.0
181,F,49.72,87.98,76.69,0.05,62.0,78.55,79.0,33.93,87.4,24.39,48.0,African-American,901.0
182,F,49.72,92.39,97.84,0.04,83.0,89.47,80.68,84.5,92.73,92.11,45.0,Caucasian,1054.0
183,F,63.5,81.16,86.9,0.11,,94.39,27.55,38.1,77.14,38.5,37.0,Jewish,362.0
184,F,22.85,38.35,85.59,57.39,77.0,61.88,31.41,73.35,50.74,79.94,71.0,Hispanic,362.0
185,F,49.72,91.51,99.08,0.06,79.0,98.54,97.27,96.3,93.63,95.28,71.0,Caucasian,1054.0
186,M,73.56,96.81,98.49,0.0,63.0,99.25,98.72,96.0,96.52,96.65,67.0,African-American,899.0
187,F,25.77,31.38,86.9,0.02,99.0,61.01,34.08,79.1,56.13,80.18,61.0,Caucasian,362.0
188,M,56.65,96.54,99.63,0.01,42.0,99.72,86.73,94.5,98.61,95.67,56.0,Caucasian,1054.0
189,F,79.95,92.22,99.81,0.06,100.0,98.99,84.33,94.4,94.96,94.02,54.0,Caucasian,899.0
190,F,33.7,55.0,22.8,0.06,,60.86,59.96,54.74,51.59,77.06,71.0,Chinese,1054.0
191,F,65.6,88.53,93.5,0.07,60.0,96.69,80.75,89.7,84.72,90.16,64.0,African-American,899.0
192,M,61.89,71.51,97.15,0.02,,91.49,78.72,76.5,85.18,90.29,55.0,Caucasian,362.0
193,F,56.65,96.3,99.62,0.21,4.0,98.78,98.64,96.2,93.65,97.71,73.0,African-American,906.0
194,M,55.22,93.38,98.36,0.07,49.0,93.23,95.1,94.8,86.99,85.19,57.0,African-American,906.0
195,M,59.11,55.65,85.43,0.09,80.0,87.53,64.31,72.84,79.7,72.85,70.0,Arab-Muslim,906.0
196,F,55.22,95.56,98.14,6.49,,86.3,98.38,80.24,95.32,88.33,54.0,Hispanic,862.0
197,F,46.19,86.45,93.34,0.1,55.0,95.6,99.05,83.5,87.88,88.98,43.0,Caucasian,331.0
198,F,52.94,21.94,95.34,0.03,,34.08,6.81,80.9,51.47,92.83,47.0,Caucasian,906.0
199,F,35.94,90.55,41.81,0.04,30.0,93.27,82.71,48.4,88.83,31.07,93.0,Caucasian,862.0
200,F,18.9,84.13,57.84,45.73,,89.56,87.28,72.25,80.61,65.13,88.0,Hispanic,901.0
201,M,35.94,48.76,64.05,3.73,41.0,42.88,47.57,62.98,52.34,64.33,42.0,Hispanic,709.0
202,F,70.26,94.06,99.71,0.01,87.0,98.85,98.48,84.69,95.16,92.68,53.0,African-American,901.0
203,M,61.89,83.49,98.96,3.29,69.0,94.41,83.28,79.81,82.84,88.86,51.0,Hispanic,149.0
204,M,48.05,96.79,98.88,0.06,86.0,98.94,98.15,94.4,94.84,90.03,54.0,African-American,362.0
205,M,65.48,78.55,82.51,0.25,,76.7,92.71,89.4,68.5,80.11,63.0,Caucasian,362.0
206,F,70.26,95.33,99.34,0.18,38.0,99.03,99.05,95.9,95.61,98.13,67.0,,547.0
207,F,35.94,90.31,75.77,0.06,58.0,98.52,89.3,89.9,93.72,72.95,64.0,African-American,1054.0
208,M,43.13,25.41,88.82,0.12,,32.8,11.77,84.7,60.16,82.24,57.0,Caucasian,1054.0
209,M,25.77,91.71,93.81,1.12,19.0,94.39,99.02,81.26,85.57,80.16,79.0,Hispanic,362.0
210,M,22.85,92.49,90.63,0.08,38.0,98.0,70.83,87.6,90.89,88.79,80.0,Caucasian,1086.0
211,F,62.65,71.8,84.17,0.54,,64.1,58.77,65.7,73.2,77.45,57.0,Asian,511.0
212,F,46.19,85.05,25.07,2.34,,48.05,65.54,48.36,85.29,46.9,47.0,Hispanic,991.0
213,F,55.22,83.05,92.97,0.29,99.0,85.8,95.78,70.8,74.62,87.89,42.0,Caucasian,991.0
214,M,34.36,74.74,92.56,25.83,58.0,61.55,55.27,66.98,69.38,83.46,52.0,Hispanic,1086.0
215,M,35.94,96.64,97.54,0.01,86.0,99.02,97.69,82.35,95.93,87.4,37.0,Caucasian,991.0
216,F,67.24,95.64,99.8,0.01,97.0,95.71,99.28,91.5,86.18,97.59,37.0,African-American,511.0
217,M,33.7,81.25,43.1,0.02,89.0,90.95,88.23,81.4,64.97,72.66,36.0,African-American,991.0
218,M,18.9,56.22,32.96,39.46,,37.84,46.28,9.44,50.67,13.95,41.0,Hispanic,1086.0
219,M,25.77,81.09,21.42,0.05,23.0,77.48,66.26,14.5,79.39,10.84,42.0,Caucasian,624.0
220,F,35.94,90.56,44.45,,,87.35,92.4,81.2,91.26,85.62,36.0,Caucasian,991.0
221,F,58.47,91.0,99.78,0.09,,95.41,96.94,91.5,77.9,96.41,37.0,Hispanic,511.0
222,M,18.9,90.87,85.61,6.03,9.0,98.77,64.85,39.36,94.44,56.55,59.0,Hispanic,991.0
223,F,41.04,96.43,90.91,0.48,70.0,97.99,94.76,87.7,92.81,87.87,56.0,African-American,1078.0
224,M,35.94,83.01,14.12,0.0,,81.72,43.83,10.1,66.25,1.77,36.0,Caucasian,143.0
225,F,75.9,95.36,99.14,1.02,78.0,98.75,99.61,80.83,95.52,95.29,61.0,Hispanic,143.0
226,M,28.43,85.0,84.34,0.14,7.0,91.53,96.82,78.93,81.83,80.18,56.0,African-American,991.0
227,M,18.9,87.41,13.55,47.45,61.0,84.12,59.69,14.37,90.22,7.1,73.0,Hispanic,1086.0
228,F,57.0,95.44,94.6,0.05,77.0,98.65,97.09,93.7,95.71,86.23,49.0,Caucasian,511.0
229,M,51.94,90.76,93.96,0.05,55.0,92.94,50.69,82.1,74.18,78.11,67.0,African-American,862.0
230,M,34.36,59.49,65.22,0.2,,47.14,16.75,56.8,54.22,60.44,45.0,Caucasian,639.0
231,M,51.94,87.83,12.98,47.73,49.0,72.47,49.21,13.18,84.41,5.66,58.0,Hispanic,862.0
232,M,56.65,66.86,99.8,0.08,57.0,89.28,95.62,92.6,61.64,96.86,43.0,Caucasian,624.0
233,F,55.22,80.32,85.24,0.08,13.0,92.26,91.62,92.5,90.84,65.96,90.0,Caucasian,720.0
234,M,49.72,90.41,89.32,0.01,76.0,95.9,95.61,72.9,87.24,81.62,45.0,African-American,1102.0
235,F,61.89,83.51,98.59,1.08,73.0,91.15,97.55,96.1,86.63,87.31,73.0,Asian,862.0
236,M,28.43,92.35,98.96,0.03,51.0,98.78,98.17,95.8,93.95,84.41,77.0,Caucasian,624.0
237,F,28.43,94.97,98.62,0.06,84.0,99.25,98.15,86.22,96.99,92.93,78.0,Caucasian,1111.0
238,F,53.31,66.23,89.3,0.17,,45.45,48.5,83.4,73.12,91.83,72.0,Caucasian,862.0
239,F,31.09,93.74,99.02,0.18,76.0,98.73,99.58,96.0,94.58,85.02,76.0,Caucasian,624.0
240,M,39.65,92.78,99.39,0.02,,97.13,91.7,83.34,93.14,85.61,43.0,Caucasian,803.0
241,F,33.7,93.17,26.05,0.33,32.0,97.97,73.43,18.0,90.63,7.83,39.0,Caucasian,1111.0
242,M,33.7,91.79,98.36,1.89,,97.78,99.15,81.6,94.24,90.42,67.0,Hispanic,803.0
